10000,4.2780,0.65,2025-12-30T11:58:32.822823
10500,6.2288,0.24,2025-12-30T12:06:12.803846
11000,7.9516,0.25,2025-12-30T12:13:11.999520
11500,7.4639,0.54,2025-12-30T12:20:40.626202
12000,6.9655,0.53,2025-12-30T12:27:39.739839
12500,7.5121,0.57,2025-12-30T12:35:05.793922
13000,6.7743,0.09,2025-12-30T12:42:10.836928
13500,6.4799,0.18,2025-12-30T12:49:47.321510
14000,6.3813,0.07,2025-12-30T12:57:09.249551
14500,6.7078,0.42,2025-12-30T13:04:50.222010
15000,6.0824,0.45,2025-12-30T13:11:57.131007
15500,6.8667,0.50,2025-12-30T13:19:35.192859
16000,7.4338,0.24,2025-12-30T13:26:52.868579
16500,9.4628,0.49,2025-12-30T13:34:39.580297
17000,6.7876,0.49,2025-12-30T13:41:55.714051
17500,9.1769,0.63,2025-12-30T13:49:17.987024
18000,6.8776,0.60,2025-12-30T13:56:07.430620
18500,6.4404,0.24,2025-12-30T14:03:22.691153
19000,7.0063,0.23,2025-12-30T14:10:10.910767
19500,6.6406,0.46,2025-12-30T14:17:25.865276
20000,9.1237,0.48,2025-12-30T14:24:18.617302
20500,7.0687,0.26,2025-12-30T14:31:26.605991
21000,7.3573,0.23,2025-12-30T14:38:17.391456
21500,7.1992,0.69,2025-12-30T14:45:18.260476
22000,7.2717,0.71,2025-12-30T14:52:01.971260
22500,7.2131,0.69,2025-12-30T14:59:04.599816
23000,7.0901,0.68,2025-12-30T15:06:13.898282
23500,6.4339,0.62,2025-12-30T15:13:27.520522
24000,6.5952,0.64,2025-12-30T15:20:16.982208
24500,8.2127,0.67,2025-12-30T15:27:19.702208
25000,6.9058,0.65,2025-12-30T15:34:07.333284
25500,7.1262,0.66,2025-12-30T15:41:17.551882
26000,6.0978,0.68,2025-12-30T15:48:06.100543
26500,6.6554,0.65,2025-12-30T15:55:07.208952
27000,7.6457,0.65,2025-12-30T16:01:53.012475
27500,6.7112,0.71,2025-12-30T16:09:06.706109
28000,6.9921,0.74,2025-12-30T16:15:59.386928
28500,7.1081,0.74,2025-12-30T16:23:05.768874
29000,6.5757,0.70,2025-12-30T16:29:51.530633
29500,6.9812,0.71,2025-12-30T16:37:14.566830
30000,6.9064,0.67,2025-12-30T16:44:05.097940
30500,6.7467,0.74,2025-12-30T16:51:13.110999
31000,6.8250,0.73,2025-12-30T16:58:00.499921
31500,9.4361,0.65,2025-12-30T17:04:57.809332
32000,6.4437,0.63,2025-12-30T17:11:36.716149
