step,loss,perplexity,timestamp
50,8.4181,4528.22,2025-12-24T15:58:50.201496
100,8.3942,4421.16,2025-12-24T15:59:05.069132
150,7.8699,2617.25,2025-12-24T15:59:20.053369
200,7.8254,2503.34,2025-12-24T15:59:35.109272
250,7.6772,2158.62,2025-12-24T15:59:50.204142
300,7.6856,2176.72,2025-12-24T16:00:05.318723
350,7.5699,1939.02,2025-12-24T16:00:20.448415
400,7.3574,1567.73,2025-12-24T16:00:35.586709
450,7.2427,1397.93,2025-12-24T16:00:50.730324
500,7.2595,1421.61,2025-12-24T16:01:05.879531
550,0.7183,2.05,2025-12-24T16:01:41.379559
600,7.1050,1218.07,2025-12-24T16:01:56.356176
650,7.1775,1309.58,2025-12-24T16:02:11.434425
700,7.2851,1458.38,2025-12-24T16:02:26.553186
750,7.2417,1396.48,2025-12-24T16:02:41.682458
800,7.0871,1196.48,2025-12-24T16:02:56.819344
850,2.9344,18.81,2025-12-24T16:03:24.169384
900,6.9770,1071.71,2025-12-24T16:03:39.230434
950,6.8765,969.27,2025-12-24T16:03:54.348582
1000,6.8817,974.33,2025-12-24T16:04:09.490154
1050,6.8171,913.35,2025-12-24T16:04:27.989436
1100,6.7008,813.04,2025-12-24T16:04:43.119125
1150,6.7654,867.31,2025-12-24T16:04:58.261765
1200,6.7248,832.80,2025-12-24T16:05:13.412891
1250,6.9443,1037.27,2025-12-24T16:05:28.565791
1300,6.7382,844.04,2025-12-24T16:05:43.722164
1350,7.2711,1438.15,2025-12-24T16:05:58.874571
1400,6.7805,880.51,2025-12-24T16:06:14.027641
1450,6.7156,825.21,2025-12-24T16:06:29.186240
1500,6.4748,648.58,2025-12-24T16:06:44.339557
1550,6.7511,854.99,2025-12-24T16:06:59.496168
1600,6.6616,781.81,2025-12-24T16:07:14.652215
1650,6.6077,740.77,2025-12-24T16:07:29.809808
1700,6.7398,845.40,2025-12-24T16:07:44.963244
1750,6.7678,869.37,2025-12-24T16:08:00.121795
1800,6.7422,847.44,2025-12-24T16:08:15.278885
1850,6.6244,753.22,2025-12-24T16:08:30.438612
1900,6.7774,877.76,2025-12-24T16:08:45.599255
1950,6.6550,776.65,2025-12-24T16:09:00.761240
2000,6.0871,440.13,2025-12-24T16:09:15.917876
2050,6.4970,663.12,2025-12-24T16:09:34.335870
2100,6.7707,871.89,2025-12-24T16:09:49.503208
2150,6.5410,693.00,2025-12-24T16:10:04.650159
2200,6.3224,556.88,2025-12-24T16:10:19.798837
2250,0.7698,2.16,2025-12-24T16:11:13.393511
2300,6.4704,645.71,2025-12-24T16:11:51.201878
2350,6.5407,692.75,2025-12-24T16:12:29.231114
2400,6.5540,702.05,2025-12-24T16:13:07.389059
2450,2.4840,11.99,2025-12-24T16:14:09.767615
2500,6.5418,693.57,2025-12-24T16:15:00.372538
2550,6.4286,619.30,2025-12-24T16:15:51.087594
2600,6.3376,565.44,2025-12-24T16:16:41.791820
2650,6.3133,551.85,2025-12-24T16:17:32.515561
2700,6.3066,548.16,2025-12-24T16:18:23.273276
2750,6.4484,631.67,2025-12-24T16:19:14.022678
2800,6.2965,542.69,2025-12-24T16:20:04.760130
2850,6.2365,511.06,2025-12-24T16:20:55.488429
2900,6.2728,529.97,2025-12-24T16:21:46.181787
2950,6.3186,554.77,2025-12-24T16:22:36.946704
3000,6.2198,502.62,2025-12-24T16:23:27.685130
3050,6.2364,511.03,2025-12-24T16:24:21.832830
3100,6.1713,478.80,2025-12-24T16:25:12.565209
3150,6.2683,527.58,2025-12-24T16:26:03.283344
3200,6.2307,508.11,2025-12-24T16:26:54.058820
3250,6.2230,504.23,2025-12-24T16:27:44.801306
3300,6.0791,436.63,2025-12-24T16:28:35.538916
3350,6.0575,427.29,2025-12-24T16:29:26.246756
3400,6.0886,440.82,2025-12-24T16:30:16.995133
3450,6.1963,490.93,2025-12-24T16:31:07.731980
3500,6.0815,437.68,2025-12-24T16:31:58.444627
3550,6.0744,434.58,2025-12-24T16:32:49.122263
3600,5.9694,391.28,2025-12-24T16:33:39.857090
3650,5.9882,398.70,2025-12-24T16:34:30.570441
3700,6.0906,441.67,2025-12-24T16:35:21.295276
3750,5.9920,400.20,2025-12-24T16:36:12.062777
3800,6.0089,407.02,2025-12-24T16:37:02.796673
3850,5.9592,387.29,2025-12-24T16:37:53.500542
3900,5.9890,399.02,2025-12-24T16:38:44.194071
3950,5.8794,357.59,2025-12-24T16:39:34.931937
4000,5.9782,394.73,2025-12-24T16:40:25.667423
4050,5.9298,376.06,2025-12-24T16:41:19.686896
4100,6.0044,405.20,2025-12-24T16:42:10.444099
4150,5.9310,376.54,2025-12-24T16:43:01.217095
4200,5.8482,346.60,2025-12-24T16:43:51.969169
4250,5.8996,364.90,2025-12-24T16:44:42.733309
4300,5.8500,347.23,2025-12-24T16:45:33.484117
4350,5.9199,372.38,2025-12-24T16:46:24.218068
4400,5.8901,361.42,2025-12-24T16:47:14.971776
4450,5.9311,376.56,2025-12-24T16:48:05.707713
4500,5.8630,351.78,2025-12-24T16:48:56.434138
4550,5.8255,338.82,2025-12-24T16:49:47.209694
4600,5.7872,326.08,2025-12-24T16:50:37.931097
4650,5.8858,359.89,2025-12-24T16:51:28.624467
4700,5.7831,324.77,2025-12-24T16:52:19.376649
4750,5.9405,380.14,2025-12-24T16:53:10.100872
4800,5.7956,328.86,2025-12-24T16:54:00.838737
4850,5.7742,321.88,2025-12-24T16:54:51.586902
4900,5.9059,367.18,2025-12-24T16:55:42.334922
4950,5.8894,361.20,2025-12-24T16:56:33.062946
5000,5.7645,318.78,2025-12-24T16:57:23.776457
5050,5.7204,305.04,2025-12-24T16:58:17.755713
5100,5.7015,299.31,2025-12-24T16:59:08.509873
5150,5.8401,343.82,2025-12-24T16:59:59.280890
5200,5.7768,322.73,2025-12-24T17:00:50.013257
5250,5.6969,297.93,2025-12-24T17:01:40.771355
5300,5.7582,316.78,2025-12-24T17:02:31.470124
5350,5.7762,322.54,2025-12-24T17:03:22.212597
5400,5.7233,305.91,2025-12-24T17:04:12.972466
5450,5.7259,306.72,2025-12-24T17:05:03.693899
5500,5.7490,313.87,2025-12-24T17:05:54.434493
5550,5.6511,284.61,2025-12-24T17:06:45.163597
5600,5.6218,276.39,2025-12-24T17:07:35.908604
5650,5.5987,270.09,2025-12-24T17:08:26.645602
5700,5.6811,293.26,2025-12-24T17:09:17.339147
5750,5.6752,291.55,2025-12-24T17:10:08.027047
5800,5.5833,265.95,2025-12-24T17:10:58.754748
5850,5.6114,273.53,2025-12-24T17:11:49.452346
5900,5.6055,271.92,2025-12-24T17:12:40.103464
5950,5.6115,273.56,2025-12-24T17:13:30.797541
6000,5.6462,283.22,2025-12-24T17:14:21.490297
6050,5.6698,289.97,2025-12-24T17:15:15.437898
6100,5.5631,260.62,2025-12-24T17:16:06.115901
6150,5.5126,247.79,2025-12-24T17:16:56.786235
6200,5.6383,281.00,2025-12-24T17:17:47.468876
6250,5.5558,258.74,2025-12-24T17:18:38.147816
6300,5.6564,286.10,2025-12-24T17:19:28.837315
6350,5.5479,256.71,2025-12-24T17:20:19.557196
6400,5.6871,295.03,2025-12-24T17:21:10.284275
6450,5.4570,234.38,2025-12-24T17:22:01.010652
6500,5.5196,249.54,2025-12-24T17:22:51.761645
6550,5.5099,247.13,2025-12-24T17:23:42.477423
6600,5.5266,251.29,2025-12-24T17:24:33.216700
6650,5.5255,251.01,2025-12-24T17:25:23.940448
6700,5.4950,243.48,2025-12-24T17:26:14.648007
6750,5.5132,247.95,2025-12-24T17:27:05.325637
6800,5.5279,251.61,2025-12-24T17:27:56.042493
6850,5.4522,233.26,2025-12-24T17:28:46.768654
6900,5.4767,239.07,2025-12-24T17:29:37.513222
6950,5.4980,244.21,2025-12-24T17:30:28.236898
7000,5.5743,263.56,2025-12-24T17:31:18.988404
7050,5.5532,258.07,2025-12-24T17:32:12.925125
7100,5.4311,228.41,2025-12-24T17:33:03.616372
7150,5.3971,220.76,2025-12-24T17:33:54.291913
7200,5.4892,242.06,2025-12-24T17:34:45.012011
7250,5.3861,218.34,2025-12-24T17:35:35.700773
7300,5.4213,226.18,2025-12-24T17:36:26.445369
7350,5.4733,238.25,2025-12-24T17:37:17.147529
7400,5.4377,229.92,2025-12-24T17:38:07.811222
7450,5.3589,212.49,2025-12-24T17:38:58.535280
7500,5.3228,204.96,2025-12-24T17:39:49.269415
7550,5.4081,223.21,2025-12-24T17:40:39.938855
7600,5.3316,206.76,2025-12-24T17:41:30.641030
7650,5.4679,236.96,2025-12-24T17:42:21.370371
7700,5.3788,216.75,2025-12-24T17:43:12.107105
7750,5.3897,219.13,2025-12-24T17:44:02.871280
7800,5.4430,231.13,2025-12-24T17:44:53.589664
7850,5.4474,232.14,2025-12-24T17:45:44.309606
7900,5.4420,230.91,2025-12-24T17:46:35.043963
7950,5.5081,246.69,2025-12-24T17:47:25.754144
8000,5.4177,225.36,2025-12-24T17:48:16.454285
8050,5.3715,215.19,2025-12-24T17:49:10.392346
8100,5.3248,205.38,2025-12-24T17:50:01.035636
8150,5.2967,199.68,2025-12-24T17:50:51.721529
8200,5.3870,218.54,2025-12-24T17:51:42.438469
8250,5.4328,228.79,2025-12-24T17:52:33.157968
8300,5.3499,210.59,2025-12-24T17:53:23.824508
8350,5.3630,213.37,2025-12-24T17:54:14.593890
8400,5.3034,201.01,2025-12-24T17:55:05.295711
8450,5.3731,215.53,2025-12-24T17:55:55.991843
8500,5.3531,211.26,2025-12-24T17:56:46.695102
8550,5.3125,202.85,2025-12-24T17:57:37.350286
8600,5.2572,191.95,2025-12-24T17:58:28.106093
8650,5.2916,198.65,2025-12-24T17:59:18.827888
8700,5.2490,190.38,2025-12-24T18:00:09.504244
8750,5.2158,184.17,2025-12-24T18:01:00.206543
8800,5.2714,194.69,2025-12-24T18:01:50.962759
8850,5.2091,182.94,2025-12-24T18:02:41.697129
8900,5.2258,186.01,2025-12-24T18:03:32.401517
8950,5.1766,177.07,2025-12-24T18:04:23.090066
9000,5.2368,188.06,2025-12-24T18:05:13.813028
9050,5.1817,177.98,2025-12-24T18:06:07.784449
9100,5.1723,176.32,2025-12-24T18:06:58.488660
9150,5.1909,179.62,2025-12-24T18:07:49.185095
9200,5.1895,179.38,2025-12-24T18:08:39.843011
9250,5.1557,173.41,2025-12-24T18:09:30.565365
9300,5.1900,179.46,2025-12-24T18:10:21.297216
9350,5.1379,170.35,2025-12-24T18:11:11.956134
9400,5.1898,179.44,2025-12-24T18:12:02.641577
9450,5.1468,171.88,2025-12-24T18:12:53.322187
9500,5.0467,155.51,2025-12-24T18:13:43.990807
9550,5.1222,167.70,2025-12-24T18:14:34.696931
9600,4.9809,145.61,2025-12-24T18:15:25.359285
9650,5.0629,158.05,2025-12-24T18:16:16.125606
9700,5.0797,160.73,2025-12-24T18:17:06.840658
9750,5.0068,149.42,2025-12-24T18:17:57.508662
9800,4.9744,144.66,2025-12-24T18:18:48.248496
9850,5.0092,149.79,2025-12-24T18:19:38.946024
9900,5.0178,151.07,2025-12-24T18:20:29.653846
9950,5.0254,152.22,2025-12-24T18:21:20.349979
10000,4.9044,134.88,2025-12-24T18:22:11.034477
10050,4.9933,147.42,2025-12-24T18:23:04.985928
10100,4.8216,124.16,2025-12-24T18:23:55.646052
10150,4.8834,132.08,2025-12-24T18:24:46.343624
10200,4.9555,141.95,2025-12-24T18:25:37.033424
10250,5.0033,148.91,2025-12-24T18:26:27.717265
10300,4.8812,131.79,2025-12-24T18:27:18.383271
10350,4.8686,130.14,2025-12-24T18:28:09.026513
10400,4.9412,139.94,2025-12-24T18:28:59.725203
10450,4.9293,138.29,2025-12-24T18:29:50.394829
10500,4.8820,131.90,2025-12-24T18:30:41.020210
10550,4.8573,128.67,2025-12-24T18:31:31.720506
10600,4.7972,121.17,2025-12-24T18:32:22.393519
10650,4.8050,122.11,2025-12-24T18:33:13.081974
10700,4.8242,124.49,2025-12-24T18:34:03.715139
10750,4.9081,135.38,2025-12-24T18:34:54.398525
10800,4.8062,122.27,2025-12-24T18:35:45.133474
10850,4.8759,131.09,2025-12-24T18:36:35.822737
10900,4.7729,118.26,2025-12-24T18:37:26.505743
10950,4.7623,117.02,2025-12-24T18:38:17.228036
11000,4.8248,124.56,2025-12-24T18:39:07.932267
11050,4.8050,122.12,2025-12-24T18:40:01.973058
11100,4.8634,129.46,2025-12-24T18:40:52.678567
11150,4.7318,113.50,2025-12-24T18:41:43.398590
11200,4.6698,106.68,2025-12-24T18:42:34.129139
11250,4.6966,109.57,2025-12-24T18:43:24.844690
11300,4.7438,114.87,2025-12-24T18:44:15.498074
11350,4.7753,118.55,2025-12-24T18:45:06.210440
11400,4.7099,111.04,2025-12-24T18:45:56.946981
11450,4.7310,113.41,2025-12-24T18:46:47.668352
11500,4.7909,120.41,2025-12-24T18:47:38.402279
11550,4.6572,105.34,2025-12-24T18:48:29.101954
11600,4.7188,112.04,2025-12-24T18:49:19.832113
11650,4.6055,100.04,2025-12-24T18:50:10.548558
11700,4.5619,95.77,2025-12-24T18:51:01.289937
11750,4.7229,112.50,2025-12-24T18:51:52.015499
11800,4.6472,104.29,2025-12-24T18:52:42.723845
11850,4.5455,94.20,2025-12-24T18:53:33.476263
11900,4.6650,106.17,2025-12-24T18:54:24.175545
11950,4.7283,113.10,2025-12-24T18:55:14.887745
12000,4.6842,108.22,2025-12-24T18:56:05.615687
12050,4.6295,102.46,2025-12-24T18:56:59.756636
12100,4.5767,97.19,2025-12-24T18:57:50.510952
12150,4.6652,106.19,2025-12-24T18:58:41.324732
12200,4.5962,99.11,2025-12-24T18:59:32.102592
12250,4.5734,96.87,2025-12-24T19:00:22.865206
12300,4.6589,105.51,2025-12-24T19:01:13.667923
12350,4.6768,107.43,2025-12-24T19:02:04.440210
12400,4.6412,103.67,2025-12-24T19:02:55.214437
12450,4.6251,102.02,2025-12-24T19:03:46.013144
12500,4.4165,82.80,2025-12-24T19:04:36.856529
12550,4.5224,92.06,2025-12-24T19:05:27.651936
12600,4.5467,94.32,2025-12-24T19:06:18.479552
12650,4.4784,88.10,2025-12-24T19:07:09.289947
12700,4.6569,105.31,2025-12-24T19:08:00.054418
12750,4.5478,94.42,2025-12-24T19:08:50.843410
12800,4.5386,93.56,2025-12-24T19:09:41.647863
12850,4.4716,87.50,2025-12-24T19:10:32.472796
12900,4.4362,84.45,2025-12-24T19:11:23.272544
12950,4.5190,91.74,2025-12-24T19:12:14.113401
13000,4.4093,82.21,2025-12-24T19:13:04.899984
13050,4.5228,92.09,2025-12-24T19:13:59.027916
13100,4.4528,85.87,2025-12-24T19:14:49.856517
13150,4.6131,100.79,2025-12-24T19:15:40.665145
13200,4.4976,89.80,2025-12-24T19:16:31.509461
13250,4.5332,93.06,2025-12-24T19:17:22.285781
13300,4.5306,92.81,2025-12-24T19:18:13.083262
13350,4.4875,88.90,2025-12-24T19:19:03.837150
13400,4.4751,87.80,2025-12-24T19:19:54.689124
13450,4.5749,97.02,2025-12-24T19:20:56.760105
13500,4.5124,91.14,2025-12-24T19:21:47.557652
13550,4.4402,84.79,2025-12-24T19:22:38.341903
13600,4.3163,74.91,2025-12-24T19:23:29.130017
13650,4.4560,86.14,2025-12-24T19:24:19.916263
13700,4.4827,88.47,2025-12-24T19:25:10.609680
13750,4.3140,74.74,2025-12-24T19:26:03.632517
13800,4.4138,82.58,2025-12-24T19:27:32.228244
13850,4.5487,94.50,2025-12-24T19:29:00.937442
13900,4.4193,83.04,2025-12-24T19:30:29.269980
13950,4.4715,87.49,2025-12-24T19:31:57.505829
14000,4.2934,73.22,2025-12-24T19:33:26.706738
14050,4.4672,87.11,2025-12-24T19:34:33.077693
14100,4.4075,82.07,2025-12-24T19:35:23.866475
14150,4.4250,83.51,2025-12-24T19:36:14.683393
14200,4.4133,82.54,2025-12-24T19:37:05.479449
14250,4.3425,76.90,2025-12-24T19:37:56.253447
14300,4.3837,80.14,2025-12-24T19:38:47.028430
14350,4.4296,83.90,2025-12-24T19:39:37.831988
14400,4.4218,83.25,2025-12-24T19:40:28.619576
14450,4.3372,76.50,2025-12-24T19:41:19.425565
14500,4.2645,71.13,2025-12-24T19:42:10.173227
14550,4.3075,74.25,2025-12-24T19:43:00.907647
14600,4.3285,75.83,2025-12-24T19:43:51.674554
14650,4.4359,84.43,2025-12-24T19:44:42.360303
14700,4.4186,82.98,2025-12-24T19:45:33.128757
14750,4.2648,71.15,2025-12-24T19:46:23.917263
14800,4.3866,80.37,2025-12-24T19:47:14.662055
14850,4.4019,81.61,2025-12-24T19:48:05.328417
14900,4.3994,81.41,2025-12-24T19:48:56.107029
14950,4.3284,75.82,2025-12-24T19:49:46.746946
15000,4.3745,79.40,2025-12-24T19:50:37.456703
15050,4.3478,77.31,2025-12-24T19:51:31.488749
15100,4.2919,73.10,2025-12-24T19:52:22.182021
15150,4.2879,72.81,2025-12-24T19:53:12.889344
15200,4.3790,79.76,2025-12-24T19:54:03.562564
15250,4.3794,79.79,2025-12-24T19:54:54.234967
15300,4.3205,75.23,2025-12-24T19:55:44.883720
15350,4.2729,71.73,2025-12-24T19:56:35.582089
15400,4.2495,70.07,2025-12-24T19:57:26.269874
15450,4.2020,66.82,2025-12-24T19:58:16.968503
15500,4.2027,66.87,2025-12-24T19:59:07.599517
15550,4.3491,77.41,2025-12-24T19:59:58.258642
15600,4.3231,75.42,2025-12-24T20:00:48.943509
15650,4.4552,86.08,2025-12-24T20:01:39.551075
15700,4.3417,76.84,2025-12-24T20:02:30.210472
15750,4.2497,70.08,2025-12-24T20:03:20.881760
15800,4.2854,72.63,2025-12-24T20:04:11.542267
15850,4.2833,72.48,2025-12-24T20:05:02.211842
15900,4.2217,68.15,2025-12-24T20:05:52.918453
15950,4.1593,64.03,2025-12-24T20:06:43.582224
16000,4.2221,68.17,2025-12-24T20:07:34.305159
16050,4.3215,75.30,2025-12-24T20:08:28.265295
16100,4.3309,76.02,2025-12-24T20:09:18.958360
16150,4.2896,72.94,2025-12-24T20:10:09.688599
16200,4.2735,71.77,2025-12-24T20:11:00.386805
16250,4.3096,74.41,2025-12-24T20:11:51.125916
16300,4.2195,68.00,2025-12-24T20:12:41.819631
16350,4.3103,74.47,2025-12-24T20:13:32.491148
16400,4.0867,59.54,2025-12-24T20:14:23.178467
16450,4.2861,72.68,2025-12-24T20:15:13.828133
16500,4.2966,73.45,2025-12-24T20:16:04.513370
16550,4.3109,74.51,2025-12-24T20:16:55.211953
16600,4.1706,64.75,2025-12-24T20:17:45.921514
16650,4.2568,70.59,2025-12-24T20:18:36.624792
16700,4.2490,70.03,2025-12-24T20:19:27.336989
16750,4.1886,65.93,2025-12-24T20:20:18.051625
16800,4.2683,71.40,2025-12-24T20:21:08.759746
16850,4.2191,67.97,2025-12-24T20:21:59.450411
16900,4.1702,64.73,2025-12-24T20:22:50.189352
16950,4.2434,69.64,2025-12-24T20:23:40.915903
17000,4.1509,63.49,2025-12-24T20:24:31.651428
17050,4.1854,65.72,2025-12-24T20:25:25.607858
17100,4.2786,72.14,2025-12-24T20:26:16.280918
17150,4.2277,68.56,2025-12-24T20:27:07.000044
17200,4.2464,69.85,2025-12-24T20:27:57.633561
17250,4.2271,68.52,2025-12-24T20:28:48.280127
17300,4.2259,68.44,2025-12-24T20:29:38.929802
17350,4.1489,63.36,2025-12-24T20:30:29.613988
17400,4.3081,74.30,2025-12-24T20:31:20.303518
17450,4.1776,65.21,2025-12-24T20:32:10.995785
17500,4.1731,64.92,2025-12-24T20:33:01.655091
17550,4.2010,66.75,2025-12-24T20:33:52.298045
17600,4.2155,67.73,2025-12-24T20:34:42.935874
17650,4.1333,62.38,2025-12-24T20:35:33.557359
17700,4.1984,66.58,2025-12-24T20:36:24.216011
17750,4.3482,77.34,2025-12-24T20:37:14.844138
17800,4.1822,65.51,2025-12-24T20:38:05.547675
17850,4.2660,71.23,2025-12-24T20:38:56.215645
17900,4.2176,67.87,2025-12-24T20:39:46.903295
17950,4.1613,64.15,2025-12-24T20:40:37.503170
18000,4.1096,60.92,2025-12-24T20:41:28.146898
18050,4.0685,58.47,2025-12-24T20:42:22.049581
18100,4.2473,69.92,2025-12-24T20:43:12.657401
18150,4.2440,69.68,2025-12-24T20:44:03.248596
18200,4.0840,59.38,2025-12-24T20:44:53.814997
18250,4.1732,64.92,2025-12-24T20:45:44.393001
18300,4.1590,64.01,2025-12-24T20:46:35.042764
18350,4.1043,60.60,2025-12-24T20:47:25.632534
18400,4.1308,62.23,2025-12-24T20:48:16.240340
18450,4.1490,63.37,2025-12-24T20:49:06.879601
18500,4.0774,58.99,2025-12-24T20:49:57.486302
18550,4.0576,57.83,2025-12-24T20:50:48.168915
18600,4.2869,72.74,2025-12-24T20:51:38.837473
18650,4.2197,68.01,2025-12-24T20:52:29.493086
18700,4.0927,59.90,2025-12-24T20:53:20.137438
18750,4.0574,57.83,2025-12-24T20:54:10.801123
18800,4.1034,60.55,2025-12-24T20:55:01.475860
18850,4.1966,66.46,2025-12-24T20:55:52.162472
18900,4.1564,63.84,2025-12-24T20:56:42.901194
18950,4.2427,69.60,2025-12-24T20:57:33.639417
19000,4.2466,69.87,2025-12-24T20:58:24.364700
19050,3.9918,54.15,2025-12-24T20:59:18.287597
19100,4.2557,70.51,2025-12-24T21:00:08.951371
19150,4.1305,62.21,2025-12-24T21:00:59.652746
19200,4.0858,59.49,2025-12-24T21:01:50.357403
19250,4.0016,54.68,2025-12-24T21:02:41.022867
19300,3.9794,53.49,2025-12-24T21:03:31.674414
19350,4.2015,66.79,2025-12-24T21:04:22.377877
