step,loss,perplexity,timestamp
50,8.0809,3232.19,2025-12-24T15:58:50.201410
100,7.6713,2145.97,2025-12-24T15:59:05.069080
150,7.3770,1598.74,2025-12-24T15:59:20.053319
200,7.3685,1585.23,2025-12-24T15:59:35.109218
250,7.2129,1356.79,2025-12-24T15:59:50.204097
300,7.2019,1342.02,2025-12-24T16:00:05.318673
350,7.0734,1180.14,2025-12-24T16:00:20.448366
400,6.9429,1035.74,2025-12-24T16:00:35.586659
450,6.9036,995.85,2025-12-24T16:00:50.730281
500,6.9184,1010.67,2025-12-24T16:01:05.879485
550,0.6988,2.01,2025-12-24T16:01:41.379513
600,7.2028,1343.16,2025-12-24T16:01:56.356127
650,6.7970,895.15,2025-12-24T16:02:11.434365
700,6.9096,1001.88,2025-12-24T16:02:26.553138
750,6.7859,885.25,2025-12-24T16:02:41.682417
800,6.6630,782.87,2025-12-24T16:02:56.819297
850,2.8830,17.87,2025-12-24T16:03:24.169339
900,6.7015,813.66,2025-12-24T16:03:39.230388
950,6.6430,767.37,2025-12-24T16:03:54.348535
1000,6.7249,832.86,2025-12-24T16:04:09.490107
1050,6.6504,773.08,2025-12-24T16:04:27.989390
1100,6.6262,754.59,2025-12-24T16:04:43.119081
1150,6.7527,856.38,2025-12-24T16:04:58.261719
1200,6.5986,734.04,2025-12-24T16:05:13.412845
1250,6.6022,736.71,2025-12-24T16:05:28.565746
1300,6.5375,690.53,2025-12-24T16:05:43.722120
1350,6.4713,646.34,2025-12-24T16:05:58.874530
1400,6.4655,642.56,2025-12-24T16:06:14.027594
1450,6.3555,575.67,2025-12-24T16:06:29.186197
1500,6.5795,720.18,2025-12-24T16:06:44.339513
1550,6.4841,654.66,2025-12-24T16:06:59.496124
1600,6.4801,652.05,2025-12-24T16:07:14.652173
1650,6.4529,634.55,2025-12-24T16:07:29.809765
1700,6.5231,680.67,2025-12-24T16:07:44.963201
1750,6.5090,671.14,2025-12-24T16:08:00.121752
1800,6.4750,648.72,2025-12-24T16:08:15.278845
1850,6.4267,618.11,2025-12-24T16:08:30.438569
1900,6.5023,666.70,2025-12-24T16:08:45.599213
1950,6.4648,642.15,2025-12-24T16:09:00.761191
2000,6.3950,598.86,2025-12-24T16:09:15.917836
2050,6.4135,610.03,2025-12-24T16:09:34.335825
2100,6.5014,666.05,2025-12-24T16:09:49.503168
2150,6.4619,640.29,2025-12-24T16:10:04.650115
2200,6.4149,610.89,2025-12-24T16:10:19.798797
2250,0.7712,2.16,2025-12-24T16:11:13.393446
2300,6.4433,628.48,2025-12-24T16:11:51.201815
2350,6.3464,570.43,2025-12-24T16:12:29.231053
