step,en_loss,en_ppl,fr_loss,fr_ppl
545,6.1566047191619875,471.82337930173617,6.5674147605896,711.5279931376355
829,3.914768409729004,50.13745881872057,4.1581661415100095,63.95413216587122
1000,6.313365936279297,551.8994844339378,7.946996212005615,2827.0702640132727
2000,6.42689323425293,618.2502026941638,6.441957473754883,627.6341755680038
2244,5.971325969696045,392.0251397290838,5.865333766937256,352.59982263289567
2431,3.912113027572632,50.00450130983003,4.06896406173706,58.49633260366641
3000,6.0641584396362305,430.16051926142234,6.180890083312988,483.4220508149996
4000,6.526219367980957,682.811865160117,5.917332649230957,371.4196848376541
5000,6.418973445892334,613.3731301182854,5.6621785163879395,287.7748824689193
6000,6.237096786499023,511.37173245175745,5.5242695808410645,250.70315274200186
7000,6.688353538513184,802.9990561273916,5.301428318023682,200.6231591014133
8000,6.451088905334473,633.3916209524621,5.093806266784668,163.00913901059002
9000,6.425019264221191,617.0927052387086,5.544617652893066,255.85673345730086
10000,6.715370178222656,824.9891033795417,4.773222923278809,118.29989971647801
11000,6.478444576263428,650.9576434477124,4.332062721252441,76.10110013883538
12000,6.6873064041137695,802.1586482797985,4.93630313873291,139.25449226708793
13000,6.631532669067383,758.6440302795686,4.39502477645874,81.04663878655346
14000,7.060659408569336,1165.2132641111182,4.333415985107422,76.20415472127107
15000,6.798953056335449,896.9077880061994,4.910571098327637,135.71689997502824
16000,6.769879341125488,871.2067688205649,4.1759748458862305,65.10327439567303
17000,7.028512001037598,1128.3503762141568,4.514848232269287,91.36369890887177
18000,6.796906471252441,895.0740669795288,4.056314468383789,57.7610381759728
19000,6.927783012390137,1020.229634079104,4.7819719314575195,119.33944738112957
20000,7.020841598510742,1119.7285832205923,4.12700080871582,61.991718820682266
21000,7.185158729553223,1319.6986968370636,4.144778251647949,63.103627224808584
22000,7.210067272186279,1352.9832824562407,3.7548489570617676,42.72776559587319
23000,7.119996070861816,1236.4455752905678,3.8442327976226807,46.722824734668166
24000,7.093269348144531,1203.8371366361619,2.9181783199310303,18.507541912056332
25000,6.590817928314209,728.3763859903945,3.3891448974609375,29.640595682045344
26000,7.070113658905029,1176.28172154413,3.438289165496826,31.133648059615762
27000,7.312900066375732,1499.5195958739507,4.04878568649292,57.32780083887945
28000,7.152257919311523,1276.9860338836347,3.598506450653076,36.54361397386302
29000,7.1663055419921875,1295.0512413905708,4.020400524139404,55.72341993264148
30000,6.784994602203369,884.4753127143515,4.096692085266113,60.14101683801879
31000,7.210700035095215,1353.8396710106713,3.9592127799987793,52.416046742941504
32000,7.3408708572387695,1542.0544383650092,3.7630372047424316,43.07906743382274
33000,7.304181098937988,1486.5021650885828,3.48126482963562,32.50080406969409
34000,7.413936138153076,1658.943342737492,5.0098724365234375,149.88561499935645
35000,7.292662620544434,1469.4781555826482,3.3133926391601562,27.47819110076803
36000,7.232493877410889,1383.668905477064,4.060589790344238,58.00851385308903
37000,7.321553707122803,1512.5522081929676,4.137392520904541,62.63927771622992
38000,7.177431106567383,1309.5398652171853,3.474323272705078,32.27597910835933
39000,7.28952693939209,1464.8775574005244,4.110837459564209,60.997779359265785
40000,7.379698753356934,1603.1067645533112,3.5026941299438477,33.204789578960344
41000,7.344656944274902,1547.9038568996048,3.4545836448669434,31.645110334904853
42000,7.307788848876953,1491.8747788800604,3.8634021282196045,47.627109585273175
43000,7.255558013916016,1415.9529041451046,3.8486838340759277,46.93125324810586
44000,7.321536064147949,1512.5255225078017,2.955728530883789,19.215716864820962
45000,7.472766876220703,1759.4681875758156,3.6590466499328613,38.82431206196398
46000,7.140390396118164,1261.92094198386,3.531601905822754,34.1786748033552
47000,7.712031841278076,2235.0789734001837,4.067699432373047,58.422403180281435
48000,7.263436794281006,1427.1529494957224,3.6818161010742188,39.71846135236098
49000,7.09873104095459,1210.4301132873138,3.2216637134552,25.06979445905749
50000,7.445355415344238,1711.893617301464,5.422915935516357,226.538732680743
51000,7.335803985595703,1534.2608077959944,4.02073335647583,55.74196957548054
52000,7.406309127807617,1646.3386936965494,3.801790952682495,44.781313932178556
53000,7.339168071746826,1539.430884748004,2.1728947162628174,8.783673517925187
54000,7.731616497039795,2279.283679756909,3.7374465465545654,41.990632032293504
55000,7.6311187744140625,2061.354921408854,3.6418910026550293,38.16393663886046
56000,7.465725898742676,1747.1233226517938,3.640439033508301,38.108563989760285
57000,7.612783908843994,2023.904628202807,2.9976325035095215,20.038040730731954
58000,6.955229759216309,1048.6194402572626,4.067538261413574,58.412987944257864
59000,7.580055236816406,1958.7371568046772,3.690704107284546,40.07305275452623
60000,7.203650951385498,1344.3298988083561,3.5868639945983887,36.12062365509571
61000,7.694267272949219,2195.7243541235066,4.050024032592773,57.398836471733134
62000,7.104104995727539,1216.952419564733,3.8741979598999023,48.1440693279979
63000,7.422309875488281,1672.8932233485107,3.502460479736328,33.19703217927889
64000,7.465312957763672,1746.4020127759504,3.5788393020629883,35.83192665763213
