step,category,accuracy,mean_log_ratio,correct,total,timestamp
1000,sv_agreement,60.00,1.3420,3,5,2025-12-24T16:04:12.567895
1000,article,50.00,0.0001,1,2,2025-12-24T16:04:12.567913
1000,collocation,33.33,-0.0001,1,3,2025-12-24T16:04:12.567923
2000,sv_agreement,80.00,4.6597,4,5,2025-12-24T16:09:18.923045
2000,article,50.00,0.0000,1,2,2025-12-24T16:09:18.923059
2000,collocation,33.33,-0.0014,1,3,2025-12-24T16:09:18.923070
3000,sv_agreement,80.00,1.8100,4,5,2025-12-24T16:23:30.764280
3000,article,50.00,5.1593,1,2,2025-12-24T16:23:30.764295
3000,collocation,33.33,-0.0000,1,3,2025-12-24T16:23:30.764306
4000,sv_agreement,80.00,5.7474,4,5,2025-12-24T16:40:28.707696
4000,article,50.00,3.5235,1,2,2025-12-24T16:40:28.707710
4000,collocation,33.33,-0.0002,1,3,2025-12-24T16:40:28.707719
5000,sv_agreement,60.00,-0.1413,3,5,2025-12-24T16:57:26.810489
5000,article,50.00,2.5615,1,2,2025-12-24T16:57:26.810501
5000,collocation,33.33,-0.0001,1,3,2025-12-24T16:57:26.810510
6000,sv_agreement,60.00,1.5761,3,5,2025-12-24T17:14:24.515924
6000,article,50.00,0.0115,1,2,2025-12-24T17:14:24.515937
6000,collocation,33.33,0.0000,1,3,2025-12-24T17:14:24.515946
7000,sv_agreement,60.00,6.6758,3,5,2025-12-24T17:31:22.023750
7000,article,100.00,0.2722,2,2,2025-12-24T17:31:22.023766
7000,collocation,33.33,0.0001,1,3,2025-12-24T17:31:22.023778
8000,sv_agreement,60.00,1.5265,3,5,2025-12-24T17:48:19.482292
8000,article,50.00,0.5404,1,2,2025-12-24T17:48:19.482305
8000,collocation,33.33,-0.0000,1,3,2025-12-24T17:48:19.482315
9000,sv_agreement,60.00,0.6539,3,5,2025-12-24T18:05:16.896823
9000,article,50.00,0.0008,1,2,2025-12-24T18:05:16.896836
9000,collocation,33.33,-0.0000,1,3,2025-12-24T18:05:16.896846
10000,sv_agreement,60.00,1.4408,3,5,2025-12-24T18:22:14.099502
10000,article,50.00,0.0009,1,2,2025-12-24T18:22:14.099516
10000,collocation,0.00,-0.0075,0,3,2025-12-24T18:22:14.099525
11000,sv_agreement,80.00,2.4543,4,5,2025-12-24T18:39:11.005713
11000,article,50.00,0.0021,1,2,2025-12-24T18:39:11.005726
11000,collocation,33.33,-0.0065,1,3,2025-12-24T18:39:11.005736
12000,sv_agreement,80.00,2.3340,4,5,2025-12-24T18:56:08.721100
12000,article,50.00,0.0000,1,2,2025-12-24T18:56:08.721114
12000,collocation,33.33,-0.1131,1,3,2025-12-24T18:56:08.721123
13000,sv_agreement,80.00,2.3930,4,5,2025-12-24T19:13:07.961911
13000,article,50.00,0.0112,1,2,2025-12-24T19:13:07.961924
13000,collocation,0.00,-0.0001,0,3,2025-12-24T19:13:07.961933
14000,sv_agreement,60.00,-0.0353,3,5,2025-12-24T19:33:29.832571
14000,article,50.00,0.0000,1,2,2025-12-24T19:33:29.832585
14000,collocation,0.00,-0.0000,0,3,2025-12-24T19:33:29.832595
15000,sv_agreement,40.00,0.2033,2,5,2025-12-24T19:50:40.557319
15000,article,50.00,0.0000,1,2,2025-12-24T19:50:40.557333
15000,collocation,33.33,-0.0000,1,3,2025-12-24T19:50:40.557342
16000,sv_agreement,80.00,1.0477,4,5,2025-12-24T20:07:37.347045
16000,article,50.00,0.0000,1,2,2025-12-24T20:07:37.347060
16000,collocation,33.33,-0.0000,1,3,2025-12-24T20:07:37.347069
17000,sv_agreement,60.00,-0.4257,3,5,2025-12-24T20:24:34.742822
17000,article,50.00,0.0000,1,2,2025-12-24T20:24:34.742836
17000,collocation,33.33,-0.0000,1,3,2025-12-24T20:24:34.742846
18000,sv_agreement,60.00,1.1016,3,5,2025-12-24T20:41:31.226284
18000,article,50.00,0.0000,1,2,2025-12-24T20:41:31.226298
18000,collocation,0.00,-0.0506,0,3,2025-12-24T20:41:31.226307
19000,sv_agreement,60.00,0.0621,3,5,2025-12-24T20:58:27.410906
19000,article,100.00,0.0000,2,2,2025-12-24T20:58:27.410921
19000,collocation,33.33,-0.0000,1,3,2025-12-24T20:58:27.410930
20000,sv_agreement,40.00,-0.9104,2,5,2025-12-24T21:15:23.989370
20000,article,50.00,0.0000,1,2,2025-12-24T21:15:23.989384
20000,collocation,0.00,-0.0001,0,3,2025-12-24T21:15:23.989393
21000,sv_agreement,60.00,1.5763,3,5,2025-12-24T21:32:20.070280
21000,article,100.00,0.0000,2,2,2025-12-24T21:32:20.070294
21000,collocation,0.00,-0.0001,0,3,2025-12-24T21:32:20.070304
22000,sv_agreement,60.00,0.0186,3,5,2025-12-24T21:49:16.833464
22000,article,50.00,0.0001,1,2,2025-12-24T21:49:16.833477
22000,collocation,33.33,-0.0010,1,3,2025-12-24T21:49:16.833486
23000,sv_agreement,60.00,1.4916,3,5,2025-12-24T22:06:12.702204
23000,article,50.00,0.0000,1,2,2025-12-24T22:06:12.702218
