step,category,accuracy,mean_log_ratio,correct,total,timestamp
1000,gender,100.00,3.9696,4,4,2025-12-24T16:04:12.568332
1000,number,0.00,-4.7544,0,2,2025-12-24T16:04:12.568344
1000,article_gender,100.00,4.7286,2,2,2025-12-24T16:04:12.568353
1000,collocation,0.00,-0.0000,0,2,2025-12-24T16:04:12.568360
2000,gender,100.00,2.4630,4,4,2025-12-24T16:09:18.923316
2000,number,0.00,-0.0903,0,2,2025-12-24T16:09:18.923327
2000,article_gender,100.00,1.7011,2,2,2025-12-24T16:09:18.923335
2000,collocation,50.00,-0.0000,1,2,2025-12-24T16:09:18.923344
3000,gender,100.00,7.0174,4,4,2025-12-24T16:23:30.764566
3000,number,50.00,-0.5277,1,2,2025-12-24T16:23:30.764577
3000,article_gender,100.00,5.0569,2,2,2025-12-24T16:23:30.764585
3000,collocation,50.00,0.0000,1,2,2025-12-24T16:23:30.764592
4000,gender,100.00,12.5738,4,4,2025-12-24T16:40:28.707956
4000,number,100.00,3.5126,2,2,2025-12-24T16:40:28.707967
4000,article_gender,100.00,6.6149,2,2,2025-12-24T16:40:28.707974
4000,collocation,50.00,1.0539,1,2,2025-12-24T16:40:28.707983
5000,gender,100.00,10.0694,4,4,2025-12-24T16:57:26.810765
5000,number,100.00,8.8690,2,2,2025-12-24T16:57:26.810776
5000,article_gender,100.00,13.2104,2,2,2025-12-24T16:57:26.810783
5000,collocation,0.00,-0.0614,0,2,2025-12-24T16:57:26.810790
6000,gender,100.00,18.5921,4,4,2025-12-24T17:14:24.516174
6000,number,100.00,19.0975,2,2,2025-12-24T17:14:24.516184
6000,article_gender,100.00,7.4416,2,2,2025-12-24T17:14:24.516192
6000,collocation,50.00,7.8214,1,2,2025-12-24T17:14:24.516202
7000,gender,100.00,21.2361,4,4,2025-12-24T17:31:22.024015
7000,number,100.00,21.2785,2,2,2025-12-24T17:31:22.024025
7000,article_gender,100.00,6.1901,2,2,2025-12-24T17:31:22.024032
7000,collocation,50.00,1.2012,1,2,2025-12-24T17:31:22.024041
8000,gender,100.00,13.4945,4,4,2025-12-24T17:48:19.482547
8000,number,100.00,10.1049,2,2,2025-12-24T17:48:19.482557
8000,article_gender,100.00,0.7248,2,2,2025-12-24T17:48:19.482564
8000,collocation,50.00,1.2267,1,2,2025-12-24T17:48:19.482572
9000,gender,100.00,18.8476,4,4,2025-12-24T18:05:16.897122
9000,number,100.00,10.0742,2,2,2025-12-24T18:05:16.897132
9000,article_gender,100.00,9.4276,2,2,2025-12-24T18:05:16.897140
9000,collocation,50.00,1.8369,1,2,2025-12-24T18:05:16.897147
10000,gender,100.00,15.2380,4,4,2025-12-24T18:22:14.099827
10000,number,100.00,2.1985,2,2,2025-12-24T18:22:14.099838
10000,article_gender,100.00,5.3013,2,2,2025-12-24T18:22:14.099846
10000,collocation,50.00,0.1350,1,2,2025-12-24T18:22:14.099853
11000,gender,100.00,15.6407,4,4,2025-12-24T18:39:11.005969
11000,number,100.00,2.3250,2,2,2025-12-24T18:39:11.005979
11000,article_gender,100.00,6.7175,2,2,2025-12-24T18:39:11.005987
11000,collocation,50.00,1.8382,1,2,2025-12-24T18:39:11.005994
12000,gender,100.00,17.9252,4,4,2025-12-24T18:56:08.721358
12000,number,100.00,0.8359,2,2,2025-12-24T18:56:08.721368
12000,article_gender,100.00,3.6900,2,2,2025-12-24T18:56:08.721375
12000,collocation,100.00,4.6615,2,2,2025-12-24T18:56:08.721382
13000,gender,100.00,16.8455,4,4,2025-12-24T19:13:07.962165
13000,number,100.00,5.0153,2,2,2025-12-24T19:13:07.962175
13000,article_gender,100.00,1.7197,2,2,2025-12-24T19:13:07.962182
13000,collocation,100.00,5.5043,2,2,2025-12-24T19:13:07.962189
14000,gender,100.00,17.5665,4,4,2025-12-24T19:33:29.832842
14000,number,100.00,13.4406,2,2,2025-12-24T19:33:29.832853
14000,article_gender,100.00,2.3183,2,2,2025-12-24T19:33:29.832860
14000,collocation,100.00,3.9358,2,2,2025-12-24T19:33:29.832867
15000,gender,100.00,17.9487,4,4,2025-12-24T19:50:40.557591
15000,number,100.00,5.1515,2,2,2025-12-24T19:50:40.557601
15000,article_gender,100.00,0.0044,2,2,2025-12-24T19:50:40.557608
15000,collocation,100.00,4.7065,2,2,2025-12-24T19:50:40.557615
16000,gender,100.00,19.0574,4,4,2025-12-24T20:07:37.347302
16000,number,100.00,12.6858,2,2,2025-12-24T20:07:37.347313
16000,article_gender,100.00,0.3059,2,2,2025-12-24T20:07:37.347320
16000,collocation,100.00,0.8949,2,2,2025-12-24T20:07:37.347327
