step,loss,perplexity,passed,loss_mean_10,loss_std_10,loss_cv_10,ppl_mean_10,ppl_std_10,ppl_cv_10,timestamp
177000,6.3415,763.0,False,6.6403,0.236,3.55,752.26,17.55,2.33,
178000,8.5548,824.8,False,6.8062,0.6231,9.15,759.57,27.94,3.68,
179000,7.3785,756.8,False,6.9004,0.6312,9.15,758.09,27.66,3.65,
180000,6.5423,738.7,False,6.8836,0.6383,9.27,757.43,28.03,3.7,
181000,6.5996,712.7,False,6.9135,0.6169,8.92,751.66,30.59,4.07,
182000,7.1625,714.8,False,6.971,0.6106,8.76,750.05,32.03,4.27,
183000,6.5534,743.2,False,6.914,0.6202,8.97,751.55,31.31,4.17,
184000,6.958,750.1,False,6.9401,0.616,8.88,753.07,30.83,4.09,
185000,7.0836,727.2,False,6.9851,0.6083,8.71,751.24,31.76,4.23,
186000,6.7509,740.5,False,6.9925,0.605,8.65,747.18,30.24,4.05,
187000,7.1676,764.8,False,7.0751,0.5656,7.99,747.36,30.34,4.06,
188000,7.4219,776.7,False,6.9618,0.3164,4.55,742.55,19.59,2.64,
198000,6.566409111022949,,,6.8806,0.303,4.4,,,,2025-12-22T02:48:27.077765
199000,6.8030009269714355,,,6.9067,0.2833,4.1,,,,2025-12-22T03:14:10.936383
200000,6.633799076080322,,,6.9101,0.2798,4.05,,,,2025-12-22T03:40:55.189238
201000,6.702587127685547,,,6.8641,0.2722,3.97,,,,2025-12-22T09:40:29.788744
