step,loss,probe_accuracy,timestamp
35500,4.642146,,2026-01-01T06:57:24.991300
36000,4.684570,,2026-01-01T06:59:44.012017
36000,4.684570,0.8000,2026-01-01T06:59:44.247991
36500,4.666599,,2026-01-01T07:02:04.414893
37000,4.604905,,2026-01-01T07:04:23.162501
37000,4.604905,0.7333,2026-01-01T07:04:23.395820
37500,4.597701,,2026-01-01T07:06:44.200899
38000,4.622568,,2026-01-01T07:09:03.501063
38000,4.622568,0.6667,2026-01-01T07:09:03.753589
38500,4.632587,,2026-01-01T07:11:25.139727
39000,4.576189,,2026-01-01T07:13:44.598875
39000,4.576189,0.8000,2026-01-01T07:13:44.849915
39500,4.602465,,2026-01-01T07:16:06.166885
40000,4.607608,,2026-01-01T07:18:26.065909
40000,4.607608,0.8000,2026-01-01T07:18:26.369450
40500,4.607737,,2026-01-01T07:20:47.617757
41000,4.511585,,2026-01-01T07:23:06.455626
41000,4.511585,0.7333,2026-01-01T07:23:06.694354
41500,4.536794,,2026-01-01T07:25:27.336125
42000,4.540165,,2026-01-01T07:27:46.506029
42000,4.540165,0.8000,2026-01-01T07:27:46.757106
42500,4.527585,,2026-01-01T07:30:08.006232
43000,4.538081,,2026-01-01T07:32:27.961218
43000,4.538081,0.8667,2026-01-01T07:32:28.264567
43500,4.461344,,2026-01-01T07:34:49.741291
44000,4.491364,,2026-01-01T07:37:09.132080
44000,4.491364,0.8000,2026-01-01T07:37:09.437206
44500,4.449789,,2026-01-01T07:39:30.987737
45000,4.514316,,2026-01-01T07:41:50.161022
45000,4.514316,0.8000,2026-01-01T07:41:50.394646
45500,4.478676,,2026-01-01T07:44:11.237795
46000,4.429735,,2026-01-01T07:46:30.526315
46000,4.429735,0.7333,2026-01-01T07:46:30.759611
46500,4.478194,,2026-01-01T07:48:51.610554
47000,4.431653,,2026-01-01T07:51:11.390150
47000,4.431653,0.8000,2026-01-01T07:51:11.645082
47500,4.420772,,2026-01-01T07:53:32.039444
48000,4.452809,,2026-01-01T07:55:51.299673
48000,4.452809,0.6667,2026-01-01T07:55:51.539723
48500,4.479085,,2026-01-01T07:58:12.372890
49000,4.453660,,2026-01-01T08:00:31.450531
49000,4.453660,0.8000,2026-01-01T08:00:31.685163
49500,4.448612,,2026-01-01T08:02:51.865805
50000,4.514439,,2026-01-01T08:05:10.778780
50000,4.514439,0.8000,2026-01-01T08:05:11.010014
50500,4.384765,,2026-01-01T08:07:31.212542
51000,4.389281,,2026-01-01T08:09:50.194270
51000,4.389281,0.8667,2026-01-01T08:09:50.428117
51500,4.339140,,2026-01-01T08:12:10.652712
52000,4.417249,,2026-01-01T08:14:29.901207
52000,4.417249,0.8667,2026-01-01T08:14:30.145204
52500,4.370875,,2026-01-01T08:16:50.753927
53000,4.275299,,2026-01-01T08:19:09.730019
53000,4.275299,0.7333,2026-01-01T08:19:09.972396
53500,4.337156,,2026-01-01T08:21:30.529474
54000,4.381239,,2026-01-01T08:23:48.888018
54000,4.381239,0.8000,2026-01-01T08:23:49.124083
54500,4.353704,,2026-01-01T08:26:12.196275
55000,4.305416,,2026-01-01T08:28:30.876231
55000,4.305416,0.7333,2026-01-01T08:28:31.125012
55500,4.342024,,2026-01-01T08:30:52.172202
56000,4.335129,,2026-01-01T08:33:11.488375
56000,4.335129,0.7333,2026-01-01T08:33:11.724873
56500,4.244289,,2026-01-01T08:35:32.785775
57000,4.335114,,2026-01-01T08:37:51.347189
57000,4.335114,0.8000,2026-01-01T08:37:51.589350
57500,4.336939,,2026-01-01T08:40:12.315477
58000,4.373181,,2026-01-01T08:42:31.819099
58000,4.373181,0.8667,2026-01-01T08:42:32.069158
58500,4.247517,,2026-01-01T08:44:53.317403
59000,4.253744,,2026-01-01T08:47:12.515734
59000,4.253744,0.8000,2026-01-01T08:47:12.751935
59500,4.298458,,2026-01-01T08:49:33.371932
60000,4.317325,,2026-01-01T08:51:52.522265
60000,4.317325,0.8667,2026-01-01T08:51:52.773298
60500,4.325848,,2026-01-01T08:54:13.766534
61000,4.353889,,2026-01-01T08:56:33.307954
61000,4.353889,0.8667,2026-01-01T08:56:33.559871
61500,4.286777,,2026-01-01T08:58:54.877588
62000,4.335357,,2026-01-01T09:01:14.492064
62000,4.335357,0.8667,2026-01-01T09:01:14.741595
62500,4.319589,,2026-01-01T09:03:35.909358
63000,4.280879,,2026-01-01T09:05:55.869441
63000,4.280879,0.8667,2026-01-01T09:05:56.173500
63500,4.363847,,2026-01-01T09:08:18.142994
64000,4.286607,,2026-01-01T09:10:37.594102
64000,4.286607,0.9333,2026-01-01T09:10:37.843328
64500,4.330253,,2026-01-01T09:12:59.104088
65000,4.263815,,2026-01-01T09:15:18.763200
65000,4.263815,0.8667,2026-01-01T09:15:19.014799
65500,4.286480,,2026-01-01T09:17:40.164404
66000,4.277292,,2026-01-01T09:19:59.600207
66000,4.277292,0.8000,2026-01-01T09:19:59.879286
66500,4.224834,,2026-01-01T09:22:21.228507
67000,4.297089,,2026-01-01T09:24:40.346938
67000,4.297089,0.8667,2026-01-01T09:24:40.599272
67500,4.259025,,2026-01-01T09:27:01.514061
68000,4.275896,,2026-01-01T09:29:21.294695
68000,4.275896,0.8000,2026-01-01T09:29:21.544962
68500,4.229145,,2026-01-01T09:31:42.570735
69000,4.186209,,2026-01-01T09:34:01.852839
69000,4.186209,0.9333,2026-01-01T09:34:02.104353
69500,4.234543,,2026-01-01T09:36:23.258196
70000,4.163240,,2026-01-01T09:38:41.955215
70000,4.163240,0.8667,2026-01-01T09:38:42.191367
70500,4.237669,,2026-01-01T09:41:02.467496
