step,loss,perplexity
65,2.5623843669891357,12.966697851963389
1000,6.925575256347656,1017.979700505852
2000,7.291886329650879,1468.3378557316516
3000,5.519358158111572,249.47486237495784
4000,6.6448774337768555,768.8358085555554
5000,6.628998279571533,756.7237651958104
6000,7.332698822021484,1529.5040660748946
7000,6.759413719177246,862.1365934399107
8000,7.093677520751953,1204.3286102753489
9000,6.4572601318359375,637.312510013131
10000,7.28768253326416,1462.1782183609466
11000,7.230461597442627,1380.8597583313451
12000,7.071703910827637,1178.153793952193
13000,6.975179672241211,1069.7493762763304
14000,6.94349479675293,1036.3858512311192
15000,7.060259819030762,1164.7477500940313
16000,7.906198024749756,2714.052066838744
17000,8.077404975891113,3220.864162213878
18000,7.272873878479004,1440.684862517234
19000,7.0478973388671875,1150.4372182282632
20000,6.703461170196533,815.2225718048783
21000,8.120681762695312,3363.3129449214953
22000,7.251777172088623,1410.6095177940058
22546,6.891431941986084,983.8091667220277
23000,7.144396781921387,1266.9868252960118
24000,6.86746883392334,960.5142651779277
25000,7.178402900695801,1310.8130869236209
26000,7.608170509338379,2014.589052350457
27000,8.077094078063965,3219.862958188448
28000,8.996782302856445,8077.052560555098
29000,7.419712066650391,1668.5530065157411
30000,7.5159478187561035,1837.1078966833225
31000,7.273541450500488,1441.6469445170098
32000,7.834602355957031,2526.530649726043
33000,7.134572982788086,1254.6011380800971
34000,7.286440849304199,1460.3637818320924
35000,6.65132474899292,773.8087491944336
36000,7.564479351043701,1928.4644646204642
37000,7.610300540924072,2018.884764040798
38000,7.346758842468262,1551.1608149179065
39000,7.256879806518555,1417.8257376954393
40000,7.901430130004883,2701.142552310986
41000,7.215212345123291,1359.9624188139971
42000,7.497222423553467,1803.0274064396128
43000,7.99001932144165,2951.353983346803
44000,7.8314642906188965,2518.6146584134094
45000,7.534246444702148,1871.0338998860034
46000,8.404563903808594,4467.4091175667845
47000,7.957626819610596,2857.2840495736514
48000,7.049249649047852,1151.9940185919297
49000,7.2932305335998535,1470.3129284286206
50000,8.274364471435547,3922.029276581309
51000,7.662169456481934,2126.3654856673165
52000,7.670248031616211,2143.613063128591
53000,3.7136478424072266,41.00310692153276
54000,7.7056050300598145,2220.7606027963275
55000,7.180960178375244,1314.1694897706282
56000,7.3222479820251465,1513.6026998524014
57000,7.01601505279541,1114.337183410037
58000,7.887304306030273,2663.254915136188
59000,8.135231018066406,3412.6043509764586
60000,7.686731338500977,2179.239710933587
61000,7.775793075561523,2382.2318409712875
62000,8.316411972045898,4090.456972633722
63000,7.548844337463379,1898.547382958489
64000,7.544497966766357,1890.3134989644936
65000,7.772103786468506,2373.4592912095854
66000,7.525681018829346,1855.076137788869
196000,4.283478495923124,72.49216564285204
197000,4.269310360781025,71.47232849830739
198000,4.20578935908731,67.07352186946189
199000,4.19763050602444,66.52850523875796
200000,4.234658181089278,69.03807617985026
