step,loss,perplexity
65,2.3332565879821776,10.311467113793917
1000,6.431026458740234,620.8108578070072
2000,6.808432579040527,905.4504720593562
3000,6.652459144592285,774.6870525117919
4000,6.599401950836182,734.6556976106203
5000,6.051494121551514,424.7471800938865
6000,6.183948516845703,484.90282830115723
7000,6.141191482543945,464.6068121116081
8000,7.133237838745117,1252.9271825788128
9000,6.571475982666016,714.4235420851924
10000,7.089777946472168,1199.6413864308413
11000,6.738460540771484,844.2600310208695
12000,6.952284336090088,1045.5353565027992
13000,7.150190353393555,1274.3485086504754
14000,7.1793107986450195,1312.0037118382231
15000,7.365932464599609,1581.1891422168765
16000,7.179322242736816,1312.0187266150544
17000,7.195257186889648,1333.0931355791831
18000,7.250419616699219,1408.6958364988602
19000,7.257856369018555,1419.2110094345323
20000,7.177944183349609,1310.2119321136452
21000,7.402065277099609,1639.366682616743
22000,6.96633243560791,1060.3267937761636
22546,6.8406125831604,935.0617624098525
23000,7.238125324249268,1391.4829448832627
24000,7.207710266113281,1349.7980479260173
25000,7.0617265701293945,1166.4573986440507
26000,7.05396842956543,1157.4428713826774
27000,7.407171249389648,1647.7586498151773
28000,7.066616058349609,1172.1747444110697
29000,7.507472991943359,1821.604512461869
30000,7.170332908630371,1300.2774043281258
31000,7.440618515014648,1703.8037234986552
32000,7.112114429473877,1226.738658140046
33000,7.159426689147949,1286.1733443563853
34000,7.566678047180176,1932.7092367601765
35000,7.352004051208496,1559.3183524728122
36000,7.21040678024292,1353.4427091662565
37000,7.387526512145996,1615.704740249744
38000,6.997450828552246,1093.8412125785571
39000,7.371867656707764,1590.6017085991473
40000,7.200016975402832,1339.4535019641983
41000,7.196359157562256,1334.562974829579
42000,7.952505588531494,2842.6886428219614
43000,7.168534755706787,1297.9414075811783
44000,7.2916741371154785,1468.026318453331
45000,7.109213829040527,1223.1855350430137
46000,7.881354808807373,2647.4569290513255
47000,7.661413192749023,2124.7580004855813
48000,7.2755022048950195,1444.476433158467
49000,7.994796276092529,2965.486195077302
50000,7.406705856323242,1646.991972781368
51000,7.130030632019043,1248.9152231222176
52000,7.382204532623291,1607.128833349461
53000,7.547475337982178,1895.9500508549852
54000,7.18388557434082,1318.0195846743954
55000,7.412758827209473,1656.9913998325999
56000,7.421849727630615,1672.1236221944234
57000,7.347383975982666,1552.1308006832592
58000,7.263835430145264,1427.7219772550736
59000,7.611050605773926,2020.3996265897636
60000,7.082841873168945,1191.3493760762146
61000,7.291922569274902,1468.3910687076861
62000,7.275514602661133,1444.4943415504533
63000,7.513840675354004,1833.2409224652833
64000,7.521460056304932,1847.2624332095154
65000,6.986261367797852,1081.669941231162
66000,6.840994358062744,935.4188136751513
196000,4.234486502876366,69.0262248636443
197000,4.234443505184019,69.02325695907072
198000,4.451610091998082,85.76492230863438
199000,4.312087704970741,74.59606105696598
200000,4.431916636841328,84.09243721549625
