step,accuracy,mean_log_ratio,correct,total,timestamp
1000,60.00,-0.0168,6,10,2025-12-28T06:45:07.211222
2000,70.00,2.6909,7,10,2025-12-28T07:15:00.908140
3000,70.00,1.2299,7,10,2025-12-28T07:44:44.263233
4000,50.00,1.3501,5,10,2025-12-28T08:14:27.573686
5000,50.00,1.6829,5,10,2025-12-28T08:44:14.390100
6000,70.00,0.1767,7,10,2025-12-28T09:13:59.314990
7000,50.00,0.3235,5,10,2025-12-28T09:43:40.552609
8000,60.00,-0.2663,6,10,2025-12-28T10:13:18.906119
9000,60.00,0.3874,6,10,2025-12-28T10:43:00.325375
10000,70.00,-0.0838,7,10,2025-12-28T11:12:37.107785
11000,70.00,1.1793,7,10,2025-12-28T11:42:17.016037
12000,60.00,1.9181,6,10,2025-12-28T12:11:51.553169
13000,50.00,0.2658,5,10,2025-12-28T12:41:29.821249
14000,70.00,0.8749,7,10,2025-12-28T13:11:14.139666
15000,60.00,0.4049,6,10,2025-12-28T13:40:56.969105
16000,60.00,0.2772,6,10,2025-12-28T14:10:37.686218
17000,60.00,0.4262,6,10,2025-12-28T14:40:22.514690
18000,60.00,0.2110,6,10,2025-12-28T15:10:10.210668
19000,50.00,2.4601,5,10,2025-12-28T15:39:59.163292
20000,60.00,0.0814,6,10,2025-12-28T16:09:46.145118
21000,60.00,0.0824,6,10,2025-12-28T16:39:25.956702
22000,70.00,0.0077,7,10,2025-12-28T17:09:08.273513
23000,60.00,0.5192,6,10,2025-12-28T18:08:47.688829
24000,60.00,0.6582,6,10,2025-12-28T19:43:31.097766
25000,50.00,0.0050,5,10,2025-12-28T21:24:09.450740
26000,50.00,0.6245,5,10,2025-12-28T23:04:44.798133
27000,50.00,0.8243,5,10,2025-12-29T00:40:07.133608
28000,50.00,0.0000,5,10,2025-12-29T02:13:25.888828
29000,60.00,0.5153,6,10,2025-12-29T03:47:25.764546
30000,60.00,0.7796,6,10,2025-12-29T05:21:10.677349
31000,60.00,0.1567,6,10,2025-12-29T06:54:58.598631
32000,60.00,0.9417,6,10,2025-12-29T08:30:11.989222
33000,60.00,1.0852,6,10,2025-12-29T10:02:46.387952
34000,60.00,1.3547,6,10,2025-12-29T11:35:05.662974
35000,60.00,0.5815,6,10,2025-12-29T13:06:19.972028
36000,50.00,1.7308,5,10,2025-12-29T14:41:56.470100
37000,50.00,1.9328,5,10,2025-12-29T16:18:27.574784
38000,60.00,0.4162,6,10,2025-12-29T17:54:49.234887
39000,60.00,0.9234,6,10,2025-12-29T19:35:52.817078
40000,60.00,0.2718,6,10,2025-12-29T21:17:25.441615
41000,60.00,1.6592,6,10,2025-12-29T22:59:08.756952
42000,60.00,0.3094,6,10,2025-12-30T00:42:21.740151
43000,60.00,1.2018,6,10,2025-12-30T02:22:27.652729
44000,60.00,0.0019,6,10,2025-12-30T03:59:16.894335
45000,50.00,0.3015,5,10,2025-12-30T05:37:59.181355
46000,60.00,0.3133,6,10,2025-12-30T07:19:38.905176
47000,70.00,0.2669,7,10,2025-12-30T08:59:16.620393
48000,70.00,1.5641,7,10,2025-12-30T10:41:32.878749
49000,60.00,0.8758,6,10,2025-12-30T12:22:52.978696
50000,70.00,0.5403,7,10,2025-12-30T14:02:25.466934
51000,50.00,1.3286,5,10,2025-12-30T15:40:32.204846
52000,60.00,0.8569,6,10,2025-12-30T17:17:39.220908
53000,60.00,0.0008,6,10,2025-12-30T18:55:10.230195
54000,60.00,0.9297,6,10,2025-12-30T20:38:09.176704
55000,60.00,0.6799,6,10,2025-12-30T22:22:39.596151
56000,60.00,0.8519,6,10,2025-12-31T00:05:45.644429
57000,50.00,0.7539,5,10,2025-12-31T01:47:29.770072
58000,60.00,0.7221,6,10,2025-12-31T03:27:23.632273
59000,60.00,0.6916,6,10,2025-12-31T05:07:45.194705
60000,60.00,0.1005,6,10,2025-12-31T06:47:17.688331
61000,70.00,0.4468,7,10,2025-12-31T08:28:50.438878
62000,60.00,1.7447,6,10,2025-12-31T10:09:20.867290
63000,60.00,1.8261,6,10,2025-12-31T11:50:54.769975
64000,60.00,0.9022,6,10,2025-12-31T13:29:52.614602
65000,60.00,0.3144,6,10,2025-12-31T15:08:19.509796
66000,60.00,0.8572,6,10,2025-12-31T16:47:05.824722
67000,60.00,0.8531,6,10,2025-12-31T18:24:26.461942
68000,60.00,0.2767,6,10,2025-12-31T20:02:26.346144
69000,60.00,1.0504,6,10,2025-12-31T21:47:22.998039
70000,60.00,0.3742,6,10,2025-12-31T23:26:20.621699
71000,60.00,0.7473,6,10,2026-01-01T01:06:53.068224
72000,60.00,0.9064,6,10,2026-01-01T02:46:09.556147
