step,en_loss,en_ppl,fr_loss,fr_ppl
65,2.3332565879821776,10.311467113793917,2.5623843669891357,12.966697851963389
1000,6.431026458740234,620.8108578070072,6.925575256347656,1017.979700505852
2000,6.808432579040527,905.4504720593562,7.291886329650879,1468.3378557316516
3000,6.652459144592285,774.6870525117919,5.519358158111572,249.47486237495784
4000,6.599401950836182,734.6556976106203,6.6448774337768555,768.8358085555554
5000,6.051494121551514,424.7471800938865,6.628998279571533,756.7237651958104
6000,6.183948516845703,484.90282830115723,7.332698822021484,1529.5040660748946
7000,6.141191482543945,464.6068121116081,6.759413719177246,862.1365934399107
8000,7.133237838745117,1252.9271825788128,7.093677520751953,1204.3286102753489
9000,6.571475982666016,714.4235420851924,6.4572601318359375,637.312510013131
10000,7.089777946472168,1199.6413864308413,7.28768253326416,1462.1782183609466
11000,6.738460540771484,844.2600310208695,7.230461597442627,1380.8597583313451
12000,6.952284336090088,1045.5353565027992,7.071703910827637,1178.153793952193
13000,7.150190353393555,1274.3485086504754,6.975179672241211,1069.7493762763304
14000,7.1793107986450195,1312.0037118382231,6.94349479675293,1036.3858512311192
15000,7.365932464599609,1581.1891422168765,7.060259819030762,1164.7477500940313
16000,7.179322242736816,1312.0187266150544,7.906198024749756,2714.052066838744
17000,7.195257186889648,1333.0931355791831,8.077404975891113,3220.864162213878
18000,7.250419616699219,1408.6958364988602,7.272873878479004,1440.684862517234
19000,7.257856369018555,1419.2110094345323,7.0478973388671875,1150.4372182282632
20000,7.177944183349609,1310.2119321136452,6.703461170196533,815.2225718048783
21000,7.402065277099609,1639.366682616743,8.120681762695312,3363.3129449214953
22000,6.96633243560791,1060.3267937761636,7.251777172088623,1410.6095177940058
22546,6.8406125831604,935.0617624098525,6.891431941986084,983.8091667220277
23000,7.238125324249268,1391.4829448832627,7.144396781921387,1266.9868252960118
24000,7.207710266113281,1349.7980479260173,6.86746883392334,960.5142651779277
25000,7.0617265701293945,1166.4573986440507,7.178402900695801,1310.8130869236209
26000,7.05396842956543,1157.4428713826774,7.608170509338379,2014.589052350457
27000,7.407171249389648,1647.7586498151773,8.077094078063965,3219.862958188448
28000,7.066616058349609,1172.1747444110697,8.996782302856445,8077.052560555098
29000,7.507472991943359,1821.604512461869,7.419712066650391,1668.5530065157411
30000,7.170332908630371,1300.2774043281258,7.5159478187561035,1837.1078966833225
31000,7.440618515014648,1703.8037234986552,7.273541450500488,1441.6469445170098
32000,7.112114429473877,1226.738658140046,7.834602355957031,2526.530649726043
33000,7.159426689147949,1286.1733443563853,7.134572982788086,1254.6011380800971
34000,7.566678047180176,1932.7092367601765,7.286440849304199,1460.3637818320924
35000,7.352004051208496,1559.3183524728122,6.65132474899292,773.8087491944336
36000,7.21040678024292,1353.4427091662565,7.564479351043701,1928.4644646204642
37000,7.387526512145996,1615.704740249744,7.610300540924072,2018.884764040798
38000,6.997450828552246,1093.8412125785571,7.346758842468262,1551.1608149179065
39000,7.371867656707764,1590.6017085991473,7.256879806518555,1417.8257376954393
40000,7.200016975402832,1339.4535019641983,7.901430130004883,2701.142552310986
41000,7.196359157562256,1334.562974829579,7.215212345123291,1359.9624188139971
42000,7.952505588531494,2842.6886428219614,7.497222423553467,1803.0274064396128
43000,7.168534755706787,1297.9414075811783,7.99001932144165,2951.353983346803
44000,7.2916741371154785,1468.026318453331,7.8314642906188965,2518.6146584134094
45000,7.109213829040527,1223.1855350430137,7.534246444702148,1871.0338998860034
46000,7.881354808807373,2647.4569290513255,8.404563903808594,4467.4091175667845
47000,7.661413192749023,2124.7580004855813,7.957626819610596,2857.2840495736514
48000,7.2755022048950195,1444.476433158467,7.049249649047852,1151.9940185919297
49000,7.994796276092529,2965.486195077302,7.2932305335998535,1470.3129284286206
50000,7.406705856323242,1646.991972781368,8.274364471435547,3922.029276581309
51000,7.130030632019043,1248.9152231222176,7.662169456481934,2126.3654856673165
52000,7.382204532623291,1607.128833349461,7.670248031616211,2143.613063128591
53000,7.547475337982178,1895.9500508549852,3.7136478424072266,41.00310692153276
54000,7.18388557434082,1318.0195846743954,7.7056050300598145,2220.7606027963275
55000,7.412758827209473,1656.9913998325999,7.180960178375244,1314.1694897706282
56000,7.421849727630615,1672.1236221944234,7.3222479820251465,1513.6026998524014
57000,7.347383975982666,1552.1308006832592,7.01601505279541,1114.337183410037
58000,7.263835430145264,1427.7219772550736,7.887304306030273,2663.254915136188
59000,7.611050605773926,2020.3996265897636,8.135231018066406,3412.6043509764586
60000,7.082841873168945,1191.3493760762146,7.686731338500977,2179.239710933587
61000,7.291922569274902,1468.3910687076861,7.775793075561523,2382.2318409712875
62000,7.275514602661133,1444.4943415504533,8.316411972045898,4090.456972633722
63000,7.513840675354004,1833.2409224652833,7.548844337463379,1898.547382958489
64000,7.521460056304932,1847.2624332095154,7.544497966766357,1890.3134989644936
65000,6.986261367797852,1081.669941231162,7.772103786468506,2373.4592912095854
66000,6.840994358062744,935.4188136751513,7.525681018829346,1855.076137788869
196000,4.234486502876366,69.0262248636443,4.283478495923124,72.49216564285204
197000,4.234443505184019,69.02325695907072,4.269310360781025,71.47232849830739
198000,4.451610091998082,85.76492230863438,4.20578935908731,67.07352186946189
199000,4.312087704970741,74.59606105696598,4.19763050602444,66.52850523875796
200000,4.431916636841328,84.09243721549625,4.234658181089278,69.03807617985026
